Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
27,"Mar 27, 2017 12:14:07",8.312,0.562,7.75,False,0,0,0
27,"Mar 27, 2017 12:15:07",8.25,0.562,7.688,False,0,0,0
27,"Mar 27, 2017 12:16:07",8.187,0.562,7.625,False,0,0,0
27,"Mar 27, 2017 12:17:07",8.187,0.5,7.687,False,0,0,0
27,"Mar 27, 2017 12:18:07",8.125,0.562,7.563,False,0,0,0
27,"Mar 27, 2017 12:19:07",8.125,0.562,7.563,False,0,0,0
27,"Mar 27, 2017 12:20:07",8.125,0.5,7.625,False,0,0,0
27,"Mar 27, 2017 12:21:07",8.125,0.5,7.625,False,0,0,0
27,"Mar 27, 2017 12:22:07",8.187,0.5,7.687,False,0,0,0
27,"Mar 27, 2017 12:23:07",8.187,0.5,7.687,False,0,0,0
27,"Mar 27, 2017 12:24:07",8.25,0.562,7.688,False,0,0,0
27,"Mar 27, 2017 12:25:07",8.312,0.625,7.687,False,0,0,0
27,"Mar 27, 2017 12:26:07",8.437,0.687,7.75,False,0,0,0
27,"Mar 27, 2017 12:27:07",8.562,0.687,7.875,False,0,0,0
27,"Mar 27, 2017 12:28:07",8.687,0.687,8.0,False,0,0,0
27,"Mar 27, 2017 12:29:07",8.812,0.625,8.187,False,0,0,0
27,"Mar 27, 2017 12:30:07",9.0,0.625,8.375,False,0,0,0
27,"Mar 27, 2017 12:31:07",9.125,0.625,8.5,False,0,0,0
27,"Mar 27, 2017 12:32:07",9.25,0.625,8.625,False,0,0,0
27,"Mar 27, 2017 12:33:07",9.375,0.625,8.75,False,0,0,0
27,"Mar 27, 2017 12:34:07",9.437,0.625,8.812,False,0,0,0
27,"Mar 27, 2017 12:35:07",9.5,0.625,8.875,False,0,0,0
27,"Mar 27, 2017 12:36:07",9.5,0.687,8.813,False,0,0,0
27,"Mar 27, 2017 12:37:08",9.562,0.75,8.812,False,0,0,0
27,"Mar 27, 2017 12:38:08",9.562,0.75,8.812,False,0,0,0
27,"Mar 27, 2017 12:39:08",9.562,0.75,8.812,False,0,0,0
27,"Mar 27, 2017 12:40:08",9.562,0.75,8.812,False,0,0,0
27,"Mar 27, 2017 12:41:08",9.5,0.812,8.688,False,0,0,0
27,"Mar 27, 2017 12:42:08",9.5,0.812,8.688,False,0,0,0
27,"Mar 27, 2017 12:43:08",9.5,0.812,8.688,False,0,0,0
27,"Mar 27, 2017 12:44:08",9.437,0.812,8.625,False,0,0,0
27,"Mar 27, 2017 12:45:08",9.375,0.812,8.563,False,0,0,0
27,"Mar 27, 2017 12:46:08",9.375,0.812,8.563,False,0,0,0
27,"Mar 27, 2017 12:47:08",9.312,0.812,8.5,False,0,0,0
27,"Mar 27, 2017 12:48:08",9.312,0.875,8.437,False,0,0,0
27,"Mar 27, 2017 12:49:08",9.312,0.812,8.5,False,0,0,0
27,"Mar 27, 2017 12:50:08",9.312,0.75,8.562,False,0,0,0
27,"Mar 27, 2017 12:51:08",9.312,0.687,8.625,False,0,0,0
27,"Mar 27, 2017 12:52:08",9.312,0.625,8.687,False,0,0,0
27,"Mar 27, 2017 12:53:08",9.312,0.625,8.687,False,0,0,0
27,"Mar 27, 2017 12:54:08",9.312,0.625,8.687,False,0,0,0
27,"Mar 27, 2017 12:55:08",9.312,0.625,8.687,False,0,0,0
27,"Mar 27, 2017 12:56:08",9.312,0.625,8.687,False,0,0,0
27,"Mar 27, 2017 12:57:08",9.25,0.687,8.563,False,0,0,0
27,"Mar 27, 2017 12:58:08",9.25,0.687,8.563,False,0,0,0
27,"Mar 27, 2017 12:59:08",9.187,0.687,8.5,False,0,0,0
27,"Mar 27, 2017 13:00:08",9.125,0.75,8.375,False,0,0,0
